#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1              10               5      CASTOR_HAD  2.20550  2.20550  2.20550  2.20550   56000095
               -1              10               6      CASTOR_HAD  1.21170  1.21170  1.21170  1.21170   56000096
               -1              10               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000097
               -1              10               8      CASTOR_HAD  0.22680  0.22680  0.22680  0.22680   56000098
               -1              10               9      CASTOR_HAD  0.50400  0.50400  0.50400  0.50400   56000099
               -1              10              10      CASTOR_HAD  3.41820  3.41820  3.41820  3.41820   5600009A
               -1              10              11      CASTOR_HAD  1.63120  1.63120  1.63120  1.63120   5600009B
               -1              10              12      CASTOR_HAD  3.23040  3.23040  3.23040  3.23040   5600009C
               -1              10              13      CASTOR_HAD  2.58550  2.58550  2.58550  2.58550   5600009D
               -1              10              14      CASTOR_HAD  1.98670  1.98670  1.98670  1.98670   5600009E
               -1              11               1       CASTOR_EM  4.08830  4.08830  4.08830  4.08830   560000A1
               -1              11               2       CASTOR_EM  6.59520  6.59520  6.59520  6.59520   560000A2
               -1              11               3      CASTOR_HAD  4.22640  4.22640  4.22640  4.22640   560000A3
               -1              11               4      CASTOR_HAD  2.80340  2.80340  2.80340  2.80340   560000A4
               -1              11               5      CASTOR_HAD  1.95620  1.95620  1.95620  1.95620   560000A5
               -1              11               6      CASTOR_HAD  1.05560  1.05560  1.05560  1.05560   560000A6
               -1              11               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000A7
               -1              11               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000A8
               -1              11               9      CASTOR_HAD  0.49690  0.49690  0.49690  0.49690   560000A9
               -1              11              10      CASTOR_HAD  2.91750  2.91750  2.91750  2.91750   560000AA
               -1              11              11      CASTOR_HAD 83.29160 83.29160 83.29160 83.29160   560000AB
               -1              11              12      CASTOR_HAD  3.36180  3.36180  3.36180  3.36180   560000AC
               -1              11              13      CASTOR_HAD  3.78180  3.78180  3.78180  3.78180   560000AD
               -1              11              14      CASTOR_HAD  2.95120  2.95120  2.95120  2.95120   560000AE
               -1              12               1       CASTOR_EM  3.80460  3.80460  3.80460  3.80460   560000B1
               -1              12               2       CASTOR_EM  3.00600  3.00600  3.00600  3.00600   560000B2
               -1              12               3      CASTOR_HAD  3.01220  3.01220  3.01220  3.01220   560000B3
               -1              12               4      CASTOR_HAD  3.70170  3.70170  3.70170  3.70170   560000B4
               -1              12               5      CASTOR_HAD  4.83160  4.83160  4.83160  4.83160   560000B5
               -1              12               6      CASTOR_HAD  1.48470  1.48470  1.48470  1.48470   560000B6
               -1              12               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000B7
               -1              12               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000B8
               -1              12               9      CASTOR_HAD  1.03170  1.03170  1.03170  1.03170   560000B9
               -1              12              10      CASTOR_HAD  3.36490  3.36490  3.36490  3.36490   560000BA
               -1              12              11      CASTOR_HAD 97.52890 97.52890 97.52890 97.52890   560000BB
               -1              12              12      CASTOR_HAD  3.21920  3.21920  3.21920  3.21920   560000BC
               -1              12              13      CASTOR_HAD  1.21000  1.21000  1.21000  1.21000   560000BD
               -1              12              14      CASTOR_HAD  1.81370  1.81370  1.81370  1.81370   560000BE
               -1              13               1       CASTOR_EM  1.12750  1.12750  1.12750  1.12750   560000C1
               -1              13               2       CASTOR_EM  3.24650  3.24650  3.24650  3.24650   560000C2
               -1              13               3      CASTOR_HAD  2.31520  2.31520  2.31520  2.31520   560000C3
               -1              13               4      CASTOR_HAD  1.68050  1.68050  1.68050  1.68050   560000C4
               -1              13               5      CASTOR_HAD  1.42030  1.42030  1.42030  1.42030   560000C5
               -1              13               6      CASTOR_HAD  2.44940  2.44940  2.44940  2.44940   560000C6
               -1              13               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000C7
               -1              13               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000C8
               -1              13               9      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000C9
               -1              13              10      CASTOR_HAD  4.19650  4.19650  4.19650  4.19650   560000CA
               -1              13              11      CASTOR_HAD 150.67349 150.67349 150.67349 150.67349   560000CB
               -1              13              12      CASTOR_HAD  3.23000  3.23000  3.23000  3.23000   560000CC
               -1              13              13      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000CD
               -1              13              14      CASTOR_HAD  4.06300  4.06300  4.06300  4.06300   560000CE
               -1              14               1       CASTOR_EM  1.57450  1.57450  1.57450  1.57450   560000D1
               -1              14               2       CASTOR_EM  3.82420  3.82420  3.82420  3.82420   560000D2
               -1              14               3      CASTOR_HAD  2.16030  2.16030  2.16030  2.16030   560000D3
               -1              14               4      CASTOR_HAD  3.07340  3.07340  3.07340  3.07340   560000D4
               -1              14               5      CASTOR_HAD  2.01530  2.01530  2.01530  2.01530   560000D5
               -1              14               6      CASTOR_HAD  0.49130  0.49130  0.49130  0.49130   560000D6
               -1              14               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000D7
               -1              14               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000D8
               -1              14               9      CASTOR_HAD  0.52740  0.52740  0.52740  0.52740   560000D9
               -1              14              10      CASTOR_HAD  2.01940  2.01940  2.01940  2.01940   560000DA
               -1              14              11      CASTOR_HAD 63.18520 63.18520 63.18520 63.18520   560000DB
               -1              14              12      CASTOR_HAD  2.86690  2.86690  2.86690  2.86690   560000DC
               -1              14              13      CASTOR_HAD  2.95070  2.95070  2.95070  2.95070   560000DD
               -1              14              14      CASTOR_HAD  2.68060  2.68060  2.68060  2.68060   560000DE
               -1              15               1       CASTOR_EM  1.37050  1.37050  1.37050  1.37050   560000E1
               -1              15               2       CASTOR_EM  3.98390  3.98390  3.98390  3.98390   560000E2
               -1              15               3      CASTOR_HAD  2.52600  2.52600  2.52600  2.52600   560000E3
               -1              15               4      CASTOR_HAD  2.02870  2.02870  2.02870  2.02870   560000E4
               -1              15               5      CASTOR_HAD  2.60600  2.60600  2.60600  2.60600   560000E5
               -1              15               6      CASTOR_HAD  0.25720  0.25720  0.25720  0.25720   560000E6
               -1              15               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000E7
               -1              15               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000E8
               -1              15               9      CASTOR_HAD  0.25760  0.25760  0.25760  0.25760   560000E9
               -1              15              10      CASTOR_HAD  1.89130  1.89130  1.89130  1.89130   560000EA
               -1              15              11      CASTOR_HAD  1.84230  1.84230  1.84230  1.84230   560000EB
               -1              15              12      CASTOR_HAD  2.68230  2.68230  2.68230  2.68230   560000EC
               -1              15              13      CASTOR_HAD  2.30180  2.30180  2.30180  2.30180   560000ED
               -1              15              14      CASTOR_HAD  4.06830  4.06830  4.06830  4.06830   560000EE
               -1              16               1       CASTOR_EM  1.69680  1.69680  1.69680  1.69680   560000F1
               -1              16               2       CASTOR_EM  3.13170  3.13170  3.13170  3.13170   560000F2
               -1              16               3      CASTOR_HAD  3.36420  3.36420  3.36420  3.36420   560000F3
               -1              16               4      CASTOR_HAD  2.12580  2.12580  2.12580  2.12580   560000F4
               -1              16               5      CASTOR_HAD  1.45170  1.45170  1.45170  1.45170   560000F5
               -1              16               6      CASTOR_HAD  2.07320  2.07320  2.07320  2.07320   560000F6
               -1              16               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000F7
               -1              16               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   560000F8
               -1              16               9      CASTOR_HAD  0.19390  0.19390  0.19390  0.19390   560000F9
               -1              16              10      CASTOR_HAD  3.20840  3.20840  3.20840  3.20840   560000FA
               -1              16              11      CASTOR_HAD  1.65490  1.65490  1.65490  1.65490   560000FB
               -1              16              12      CASTOR_HAD  1.43920  1.43920  1.43920  1.43920   560000FC
               -1              16              13      CASTOR_HAD  2.24670  2.24670  2.24670  2.24670   560000FD
               -1              16              14      CASTOR_HAD  2.23230  2.23230  2.23230  2.23230   560000FE
